lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
2.6,2.6,0.0,0.16031163637043633,0.08193261999746357,0.032106724445520894,0.9855108147049412,0.0,0.0,A,rr,uniform,0.0,0.0,31,600,6.0
2.6,2.5,0.10000000000000009,0.24928557971909365,0.1530022367082305,0.041291410248633954,0.9852964958816888,0.0,0.0,A,rr,uniform,0.0,0.0,32,600,6.0
2.8000000000000003,2.7,0.10000000000000009,0.3724419104614996,0.3127293546596211,0.071980599438037,0.9824876557324377,0.0,0.0,A,rr,uniform,0.0,0.0,33,600,6.0
2.5,2.5,0.0,0.4147645920793165,0.08246059200499722,0.034173717797362474,0.9865068803356427,0.0,0.0,A,rr,uniform,1.0,0.0,31,600,6.0
2.7,2.7,0.0,0.22889815284170478,0.20713091741990763,0.0834527654149686,0.984475449579762,0.0,0.0,A,rr,uniform,1.0,0.0,32,600,6.0
2.8000000000000003,2.7,0.10000000000000009,0.24761597039080618,0.1378463561832216,0.04630680076091978,0.9834607682047373,0.0,0.0,A,rr,uniform,1.0,0.0,33,600,6.0
4.0,3.9000000000000004,0.09999999999999964,0.10473561895446613,0.07288460234980584,0.04481062533512008,0.8048955842412411,0.0,0.0,A,rr,lorentz,0.0,0.0,31,600,6.0
4.2,4.1000000000000005,0.09999999999999964,0.15425109426407935,0.0735383015829949,0.04416796045097359,0.8053577422049852,0.0,0.0,A,rr,lorentz,0.0,0.0,32,600,6.0
4.5,4.3,0.20000000000000018,0.11791524506347104,0.09987825618520751,0.04651768405450711,0.7946098755094264,0.0,0.0,A,rr,lorentz,0.0,0.0,33,600,6.0
4.0,3.9000000000000004,0.09999999999999964,0.23582525359069395,0.1423060056690471,0.07255849683547966,0.8152918399814826,0.0,0.0,A,rr,lorentz,1.0,0.0,31,600,6.0
4.4,4.4,0.0,0.1466526004164601,0.08144726029755814,0.046330530167879865,0.8096216371553515,0.0,0.0,A,rr,lorentz,1.0,0.0,32,600,6.0
4.3,4.3,0.0,0.08576322931533126,0.05138513113951815,0.03692727178877024,0.7962373119841164,0.0,0.0,A,rr,lorentz,1.0,0.0,33,600,6.0
1.0,2.7,-1.7000000000000002,0.361482364350241,0.6941421240725021,0.4291507736363891,0.9828797891511223,0.0,0.0,A,rr,bimodal,0.0,0.0,31,600,6.0
1.3,2.7,-1.4000000000000001,0.7107619417433778,0.7142103586161043,0.2831319157430078,0.9832043993331977,0.0,0.0,A,rr,bimodal,0.0,0.0,32,600,6.0
3.0,2.7,0.2999999999999998,0.5613483922727794,0.6632174821305402,0.27615934194245395,0.9847270976136716,0.0,0.0,A,rr,bimodal,0.0,0.0,33,600,6.0
1.0,2.7,-1.7000000000000002,0.7049898676000043,0.7732386720108642,0.5912636529766523,0.9832889902355676,0.0,0.0,A,rr,bimodal,1.0,0.0,31,600,6.0
3.0,2.7,0.2999999999999998,0.5889311961895904,0.6585546211648425,0.2756527198197265,0.983371008787014,0.0,0.0,A,rr,bimodal,1.0,0.0,32,600,6.0
1.4000000000000001,2.8000000000000003,-1.4000000000000001,0.4486949503743759,0.6819384618604771,0.45112161570930376,0.98229714002653,0.0,0.0,A,rr,bimodal,1.0,0.0,33,600,6.0
