lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
5.0,5.0,0.0,0.13187105959437767,0.05740915722584519,0.03365867184348841,0.8488845152095266,ba,lorentz,-1.0,0.0,31,-0.9650918110961025,-0.7351188395673585,5.97,6.849995133818223
6.0,5.125,0.875,0.4624244300188145,0.63401272404996,0.4853508949262173,0.8490140143725124,ba,lorentz,-1.0,0.0,32,-0.9638932188635072,-0.7413764834179123,5.97,6.87404053911041
4.375,4.375,0.0,0.0460303384188801,0.0323107140711216,0.02342920068023407,0.767033852934423,ba,lorentz,-0.5,0.0,31,-0.43732168837529106,-0.3421743945976251,5.97,6.849995133818223
4.375,4.375,0.0,0.076758743063292,0.05419715426669615,0.03344895158230022,0.7901484217622733,ba,lorentz,-0.5,0.0,32,-0.5006048368323782,-0.3809989791003193,5.97,6.87404053911041
3.625,3.625,0.0,0.05051253856862377,0.020449066860506758,0.012152097168558064,0.7588442590438867,ba,lorentz,0.0,0.0,31,0.027002035225643255,0.032208454731371676,5.97,6.849995133818223
4.0,4.125,-0.125,0.14718193475004673,0.03757708398755377,0.022874229141322214,0.7704042425449333,ba,lorentz,0.0,0.0,32,-0.07633705811812941,-0.08481769980528941,5.97,6.87404053911041
3.5,3.5,0.0,0.07143837862140882,0.035528474543402404,0.018342621714814576,0.7613347946564374,ba,lorentz,0.25,0.0,31,0.2504912950204634,0.15953930004452507,5.97,6.849995133818223
3.75,3.75,0.0,0.0651615077163647,0.029745503219487213,0.01800191489923186,0.7707460224514165,ba,lorentz,0.25,0.0,32,0.1461454902469665,0.0731894144628008,5.97,6.87404053911041
3.625,3.625,0.0,0.058918071971054475,0.03145989673880922,0.013158123981576154,0.7688428917412227,ba,lorentz,0.5,0.0,31,0.47411380399818726,0.2945738505264824,5.97,6.849995133818223
4.0,4.0,0.0,0.0642161501147675,0.020323126214330828,0.01497047446422494,0.770918658415699,ba,lorentz,0.5,0.0,32,0.39019106199901943,0.22807456967031317,5.97,6.87404053911041
4.5,4.5,0.0,0.1125999887768028,0.03738485718898593,0.024706467963266546,0.7888361620155493,ba,lorentz,0.75,0.0,31,0.7064235437529613,0.5253139567550079,5.97,6.849995133818223
4.5,4.5,0.0,0.07048743708635288,0.056918445259314346,0.028165432829057844,0.7818225284622693,ba,lorentz,0.75,0.0,32,0.6686637536489303,0.43987297351411464,5.97,6.87404053911041
