kind,lag,mean_corr,vol
crash onset,50,0.6071935943051421,0.014484478157641478
crash onset,55,0.6056262482179259,0.014539940971963842
crash onset,60,0.6054468611420616,0.014530236430195546
crash onset,-60,0.24249909864093913,0.0033425436767969474
crash onset,-55,0.2421458559809642,0.0032746222869747712
crash onset,-50,0.23218151707025683,0.0033585349218976167
crash onset,-45,0.2701194173133643,0.003802449264817341
crash onset,-40,0.2855535326490367,0.003888004481331297
crash onset,-35,0.2817976497487556,0.0038586723997836372
crash onset,-30,0.30512975258506997,0.006197857579742845
crash onset,-25,0.41594380474129866,0.008800494455092832
crash onset,-20,0.42506461589826344,0.008936789888181848
crash onset,-15,0.4548881539742034,0.009305208212994447
crash onset,-10,0.5215482440921275,0.010758228546187269
crash onset,-5,0.50996921869793,0.010767047518118038
crash onset,0,0.5878482678490293,0.013323803713227875
crash onset,5,0.5913169295905897,0.014332355583274706
crash onset,10,0.6050652242321347,0.014451605572151404
crash onset,15,0.6051372749850447,0.0145441062254403
crash onset,20,0.6076301465429516,0.014537103697116447
crash onset,25,0.6046496814833849,0.014497964793246764
crash onset,30,0.6386375932026355,0.013600601201280387
crash onset,35,0.6484723329994998,0.012154178417213755
crash onset,40,0.6561248647772981,0.011999303507459301
crash onset,45,0.655734488426436,0.011984016852176099
crash onset,50,0.6336964544451564,0.010932872846657686
crash onset,55,0.6544480543593546,0.01099187163215881
crash onset,60,0.5788642995831563,0.008925670927498195
crash onset,-60,0.1511982831627313,0.002407428782911092
crash onset,-55,0.1525715736394192,0.0022892823021848467
crash onset,-50,0.18011944588636283,0.0022253381294668724
crash onset,-45,0.16268232770895288,0.0021375056080898468
crash onset,-40,0.14920317001229197,0.0020760401428337404
crash onset,-35,0.1475620378200467,0.0019837704379304655
crash onset,-30,0.13883649786198074,0.0019365835319354395
crash onset,-25,0.152350223186654,0.002049930485536066
crash onset,-20,0.16568856367243104,0.0020298866868512493
crash onset,-15,0.15738583681510007,0.00195070107278989
crash onset,-10,0.12202987276611553,0.0019942473884145616
crash onset,-5,0.13176713224178135,0.0019874979301799265
crash onset,0,0.10019966679307858,0.0017967650302759025
crash onset,5,0.1043650937005305,0.0018690193173115425
crash onset,10,0.09141688877715977,0.0018441870253338955
crash onset,15,0.09539780654321925,0.0018261192876423827
crash onset,20,0.0957250842939532,0.0018343524621086632
crash onset,25,0.12996236692738874,0.002387229047572619
crash onset,30,0.16998152369764277,0.003118738539278816
crash onset,35,0.17642188407081175,0.003189529299539562
crash onset,40,0.18667465312592604,0.003344616223002119
crash onset,45,0.18864094876135165,0.0032472716908391063
crash onset,50,0.20445642471829736,0.0032412689112625522
crash onset,55,0.19364636152528686,0.003309923221416798
crash onset,60,0.18907763990625656,0.0033569921534434936
ordinary peak,60,0.20360519066765334,0.00338379223594848
ordinary peak,-60,0.1545767129915013,0.002247317373665789
ordinary peak,-55,0.15002572335948403,0.0022969156661616923
ordinary peak,-50,0.17815920334173785,0.0023738841374683216
ordinary peak,-45,0.1768099453258377,0.002395465964051993
ordinary peak,-40,0.15504937854620013,0.0023715770006431246
ordinary peak,-35,0.16779210221042945,0.0025695682245272847
ordinary peak,-30,0.15770978027937935,0.002457243872990514
ordinary peak,-25,0.16586838044207095,0.0025013148887562666
ordinary peak,-20,0.16619032195214367,0.0025732934494812607
ordinary peak,-15,0.1645738336711255,0.0024053439477515416
ordinary peak,-10,0.15886202554713816,0.002334986449053257
ordinary peak,-5,0.14817028908076704,0.002574728497740824
ordinary peak,0,0.14971247019700096,0.002899384574959228
ordinary peak,5,0.16440637654206228,0.003014871341846462
ordinary peak,10,0.15651758006108404,0.0029107556308345375
ordinary peak,15,0.1523342160050251,0.002892219890620449
ordinary peak,20,0.16818234278977354,0.0029735340598202723
ordinary peak,25,0.15583607879279116,0.00277374137880144
ordinary peak,30,0.16067649395616287,0.0027596263903696587
ordinary peak,35,0.21770802067000183,0.0033763794986987343
ordinary peak,40,0.24199641189098117,0.0034083645383945313
ordinary peak,45,0.26249847918650693,0.003535519007744604
ordinary peak,50,0.2663346296534185,0.0035398207359540967
ordinary peak,55,0.2757398977152461,0.0033467974255779074
ordinary peak,60,0.32265265785291986,0.00292812130437637
ordinary peak,-60,0.18002072082247147,0.002366296895837787
ordinary peak,-55,0.18761638758777965,0.0023637557413870684
ordinary peak,-50,0.160006548414769,0.00217097549359161
ordinary peak,-45,0.15858918589326465,0.002268536501834844
ordinary peak,-40,0.16215648607880231,0.0023104806097202306
ordinary peak,-35,0.16534741149574264,0.0022729977381602054
ordinary peak,-30,0.147707195145573,0.002188629933708964
ordinary peak,-25,0.1562194641248149,0.0022258769165780234
ordinary peak,-20,0.1601674538925594,0.002188635995917611
ordinary peak,-15,0.12872179973520392,0.0021591084953181856
ordinary peak,-10,0.136164991372423,0.0024315738856167672
ordinary peak,-5,0.12493374696639115,0.002284865718376919
ordinary peak,0,0.1238900472095054,0.0023202953743986132
ordinary peak,5,0.1619637909487406,0.0029352199976999146
ordinary peak,10,0.16768799819914687,0.0029746410789955
ordinary peak,15,0.16424413234794166,0.002848555586499518
ordinary peak,20,0.16377488748167487,0.0029193389409429074
ordinary peak,25,0.15627437237182185,0.0029533238338674116
