kind,event,lag,mean_corr
crash onset,565639,-20,0.39994049072265625
crash onset,565639,-10,0.35948827862739563
crash onset,565639,0,0.42472290992736816
crash onset,565639,10,0.5015913248062134
crash onset,565639,20,0.44447144865989685
crash onset,565639,30,0.4949556291103363
crash onset,565639,40,0.5452504754066467
crash onset,565639,50,0.5569523572921753
crash onset,565639,60,0.48606133460998535
crash onset,565639,70,0.4666081666946411
crash onset,565639,80,0.46881619095802307
crash onset,565639,90,0.4986853301525116
crash onset,566382,0,0.5024843215942383
crash onset,566382,10,0.48514944314956665
crash onset,566382,20,0.5036166906356812
crash onset,566382,30,0.3185381591320038
crash onset,566382,40,0.4126962125301361
crash onset,566382,50,0.48236337304115295
crash onset,566382,60,0.48590606451034546
crash onset,566382,70,0.47778889536857605
crash onset,566382,80,0.4120977818965912
crash onset,566382,90,0.47126850485801697
crash onset,567332,-90,0.5983578562736511
crash onset,567332,-80,0.5965766310691833
crash onset,567332,-70,0.624833345413208
crash onset,567332,-60,0.5711012482643127
crash onset,567332,-50,0.6337505578994751
crash onset,567332,-40,0.5905458331108093
crash onset,567332,-30,0.6702147722244263
crash onset,567332,-20,0.6450385451316833
crash onset,567332,-10,0.6917146444320679
crash onset,567332,0,0.6767473816871643
crash onset,567332,10,0.6745901703834534
crash onset,567332,20,0.6474331021308899
crash onset,567332,30,0.6148361563682556
crash onset,567332,40,0.6783892512321472
crash onset,567332,50,0.6706250905990601
crash onset,567332,60,0.6834747195243835
crash onset,567332,70,0.6208392977714539
crash onset,567332,80,0.6211124062538147
crash onset,567332,90,0.5943947434425354
crash onset,569335,-90,0.5059962868690491
crash onset,569335,-80,0.5291396975517273
crash onset,569335,-70,0.5728346109390259
crash onset,569335,-60,0.616519033908844
crash onset,569335,-50,0.6469621062278748
crash onset,569335,-40,0.664778470993042
crash onset,569335,-30,0.662432074546814
crash onset,569335,-20,0.6354193687438965
crash onset,569335,-10,0.6272725462913513
crash onset,569335,0,0.6656475067138672
crash onset,569335,10,0.6921267509460449
crash onset,569335,20,0.7077113389968872
crash onset,569335,30,0.6853618025779724
crash onset,569335,40,0.675532341003418
crash onset,569335,50,0.6629910469055176
crash onset,569335,60,0.6056382656097412
crash onset,569335,70,0.5838897824287415
