market,kind,date,trough,mean_corr,planted_mean_corr,absorption,planted_absorption,flicker,planted_flicker,quarter
kr_kospi200,crash,2018-09-27,2018-10-29,0.023359121223768046,0.05335912122376805,0.01949410265344536,0.049494102653445386,0.07784517092036322,0.1078451709203632,2018Q3
kr_kospi200,crash,2019-04-16,2019-05-29,0.04502186270870931,0.07502186270870934,0.05370078832040668,0.08370078832040669,0.06919185342810887,0.09919185342810886,2019Q2
kr_kospi200,crash,2020-01-22,2020-03-19,-0.11367462706981006,-0.08367462706981006,-0.09524484341520298,-0.06524484341520301,-0.05515219003467577,-0.025152190034675802,2020Q1
kr_kospi200,crash,2022-08-16,2022-09-30,-0.012923832595383858,0.017076167404616104,-0.02246936918272474,0.007530630817275258,0.019050484597517757,0.04905048459751776,2022Q3
kr_kospi200,crash,2023-09-15,2023-10-31,-0.07507207164845194,-0.04507207164845197,-0.06663317241922545,-0.03663317241922545,-0.1062789676555455,-0.0762789676555455,2023Q3
kr_kospi200,crash,2024-07-11,2024-08-05,0.009874551738422286,0.03987455173842228,0.008924565022194936,0.038924565022194914,0.031721792332296654,0.061721792332296625,2024Q3
kr_kospi200,crash,2025-03-26,2025-04-09,-0.05247639803930676,-0.022476398039306775,-0.04771188398804588,-0.01771188398804591,-0.04441863283775049,-0.014418632837750467,2025Q1
kr_kospi200,placebo,2021-02-01,2021-02-01,0.04828041288342131,,0.043394869601608634,,0.036839187531224525,,2021Q1
nl_aex,crash,2002-08-22,2002-10-09,,,,,,,2002Q3
nl_aex,crash,2003-09-08,2003-09-30,,,,,,,2003Q3
nl_aex,crash,2006-04-21,2006-06-13,,,,,,,2006Q2
nl_aex,crash,2007-07-16,2007-08-16,,,,,,,2007Q3
nl_aex,crash,2008-02-26,2008-03-17,,,,,,,2008Q1
nl_aex,crash,2009-01-06,2009-03-09,-0.00418128190806869,0.025818718091931293,-0.0015926205446246899,0.028407379455375314,0.01070833333333332,0.04070833333333331,2009Q1
nl_aex,crash,2010-04-26,2010-05-25,0.11209157444939812,0.1420915744493981,0.0939134697370062,0.1239134697370063,0.0375057751536193,0.06750577515361929,2010Q2
nl_aex,crash,2011-07-07,2011-09-22,-0.027512506575374934,0.00248749342462512,-0.016306988888332114,0.013693011111667893,-0.08698988941517398,-0.05698988941517406,2011Q3
nl_aex,crash,2012-03-16,2012-06-04,-0.014272233694462585,0.015727766305537395,-0.0015619163040350899,0.028438083695964966,0.017233326410625093,0.04723332641062517,2012Q1
nl_aex,crash,2013-05-22,2013-06-24,0.048628587667861954,0.07862858766786195,0.04132173023818186,0.07132173023818188,0.00629071970202183,0.036290719702021836,2013Q2
nl_aex,crash,2014-09-19,2014-10-16,-0.09540934962134534,-0.06540934962134536,-0.08847550155942811,-0.058475501559428156,-0.10019188596491231,-0.07019188596491233,2014Q3
nl_aex,crash,2015-08-05,2015-09-24,-0.01149099762550603,0.018509002374494005,-0.016024202934313076,0.013975797065686912,-0.014626980271588133,0.015373019728411883,2015Q3
nl_aex,crash,2018-11-13,2018-12-27,0.023659091753925124,0.053659091753925164,0.0319366351186812,0.061936635118681194,0.024857781523566814,0.054857781523566816,2018Q4
nl_aex,crash,2020-02-14,2020-03-18,-0.1565180623634264,-0.1265180623634264,-0.11321430416251485,-0.08321430416251485,-0.10615646691676711,-0.07615646691676706,2020Q1
nl_aex,crash,2022-05-31,2022-06-17,0.02604554695983873,0.056045546959838675,0.0164460597130621,0.04644605971306216,0.005378259443025285,0.035378259443025264,2022Q2
nl_aex,placebo,2001-04-10,2001-04-10,,,,,,,2001Q2
nl_aex,placebo,2025-05-02,2025-05-02,-0.03104744466987877,,-0.0035546322258292185,,-0.07563179897357233,,2025Q2
se_omx30,crash,2010-04-26,2010-05-25,0.050857303953832186,0.08085730395383221,0.04356886413751426,0.0735688641375143,-0.05021493294519602,-0.02021493294519605,2010Q2
se_omx30,crash,2011-05-11,2011-08-08,-0.007832744127409585,0.02216725587259043,0.002508447935235791,0.032508447935235815,0.015350957600957615,0.04535095760095761,2011Q2
se_omx30,crash,2012-03-16,2012-06-04,0.06742382786838678,0.09742382786838681,0.0451664038342559,0.07516640383425595,0.052207763890189524,0.08220776389018945,2012Q1
se_omx30,crash,2013-05-22,2013-06-24,-0.0007503003183856772,0.029249699681614304,-0.0004333100120100353,0.029566689987989937,0.03587925490866665,0.06587925490866668,2013Q2
se_omx30,crash,2014-09-19,2014-10-15,-0.06350396036555554,-0.03350396036555553,-0.054247188358882495,-0.024247188358882496,0.009779585091504575,0.039779585091504616,2014Q3
se_omx30,crash,2015-07-20,2015-09-24,-0.04586082770600052,-0.01586082770600054,-0.03598953277022044,-0.005989532770220389,-0.07145642671817778,-0.04145642671817778,2015Q3
se_omx30,crash,2018-09-27,2018-12-20,0.018042975787523025,0.04804297578752303,0.009476815954837237,0.0394768159548373,-0.048971613279074906,-0.01897161327907491,2018Q3
